Type,Speaker,Paper title,Event title,Date,Location,Latitude,Longitude
Invited lecture,Thijs Porck,"Old English is Dutch and Beowulf is ours! Appropriations of Early Medieval English in 19th-Century Europe","English Research Seminar, University of St Andrews","30 January 2024","St Andrews, UK",56.3417,-2.7943
Invited lecture,Thijs Porck,"Thorkelin’s Beowulf and the Reception of Old English in Nineteenth-Century Europe","Thorkelin as Scholar and Editor: International Seminar on Grímur Jónsson Thorkelin, The Arnamagnæan Institute, University of Copenhagen","14–15 October 2024","Copenhagen, Denmark",55.6761,12.5683
Conference presentation,Lucas Gahrmann,"N.F.S. Grundtvig, Cædmon and the “Long Nineteenth Century”","2nd LUCAS PhD Symposium ‘Research in Progress’, Leiden University","21 November 2024","Leiden, Netherlands",52.1580,4.4930
Conference presentation,Suzanne Klare,"Claiming Beowulf as European Epic: Non-Anglophone Appropriations of an Old English Poem","2nd LUCAS PhD Symposium ‘Research in Progress’, Leiden University","21 November 2024","Leiden, Netherlands",52.1580,4.4930
Conference presentation,"Suzanne Klare & Thijs Porck","Sword Slashes and Paper Cuts: The Reception of Beowulf in Early Dutch Children’s Literature","46th Symposium on Old English, Middle English and Historical Linguistics in the Low Countries (#SOEMEHL46), Leiden University","13 December 2024","Leiden, Netherlands",52.1580,4.4930
Keynote,Thijs Porck,"Engaging with Old English in Continental Europe: Methods, Motivations and Appropriations in the Long Nineteenth Century","Historical English Analysis and Research Tradition (HEART), University of Warsaw","11–12 April 2025","Warsaw, Poland",52.2297,21.0122
Conference presentation,Suzanne Klare,"Voorwaar! Exploring the Nineteenth-Century Dutch Translation of Beowulf","Centre for Medieval Studies PGR Conference, University of Bristol","24-25 April 2025","Bristol, UK",51.4545,-2.5879
Invited lecture,Rachel A. Fletcher,"Navigating Networks of Correspondence: Epistolary Exchange of Knowledge on Early Medieval English","LUCAS MEM Meeting, Leiden University","3 June 2025","Leiden, Netherlands",52.1580,4.4930
Invited lecture,Thijs Porck,"Thorkelin’s Contribution to Another Thorny Issue in Old English Studies: Thorkelin’s Edition of Mores’ De Ælfrico (1789)","Grímur Jónsson Thorkelin Seminar, The Arnamagnæan Institute, University of Copenhagen","19–20 June 2025","Copenhagen, Denmark",55.6761,12.5683
Conference presentation,"Lucas Gahrmann & Thijs Porck","Which Ælfric Is It and Whose? Identifying Ælfric and His Religious Doctrines in the 19th Century","Ælfric’s Afterlives: Copying, Editing, Studying, Teaching and Remembering the Most Prolific Author of Old English, Leiden University","26–27 June 2025","Leiden, Netherlands",52.1580,4.4930
Conference presentation,Rachel A. Fletcher,"Somner’s Ælfric and its Afterlives","Ælfric’s Afterlives: Copying, Editing, Studying, Teaching and Remembering the Most Prolific Author of Old English, Leiden University","26–27 June 2025","Leiden, Netherlands",52.1580,4.4930
Conference presentation,Thijs Porck,"Grendel on a Flemish Beach and Beowulf up a Dutch Stream: Appropriations of Old English in the 19th-Century Low Countries","International Medieval Congress, University of Leeds","7–10 July 2025","Leeds, UK",53.8013,-1.5486
Conference presentation,Rachel A. Fletcher,"Navigating Networks of Correspondence: Epistolary Exchange of Knowledge on Early Medieval English","International Medieval Congress, University of Leeds","7–10 July 2025","Leeds, UK",53.8013,-1.5486
Conference presentation,Suzanne Klare,"To Be (Faithful) or not to Be (Faithful): Exploring Two Nineteenth-Century Dutch Translations of Beowulf","International Medieval Congress, University of Leeds","7–10 July 2025","Leeds, UK",53.8013,-1.5486
Conference presentation,Lucas Gahrmann,"Quid enim Caedmonus cum Bouterweko? Old English Philology and Christian Pedagogy","International Medieval Congress, University of Leeds","7–10 July 2025","Leeds, UK",53.8013,-1.5486
Conference roundtable,Thijs Porck,"Early Medieval English in Nineteenth-Century Europe","Nineteenth-Century Medievalisms: A Virtual Symposium, New York Medieval Society & London Medieval Society","22 October 2025","London, UK",51.5074,-0.1278
Conference roundtable,Thijs Porck,"Early Medieval English in Nineteenth-Century Europe","Nineteenth-Century Medievalisms: A Virtual Symposium, New York Medieval Society & London Medieval Society","22 October 2025","New York, USA",40.7128,-74.0060
Invited lecture,Suzanne Klare,"Oudengels in de Nederlanden: Blommaert’s Biewolf’s dood en de Vlaamse Beweging","Guest lecture, University of Wrocław","28 October 2025","Wrocław, Poland",51.1079,17.0385
Conference presentation,Suzanne Klare,"Names Resounding in Glorious Song: Philip Blommaert’s “Biewolf’s dood” (1848) and the Nineteenth-century Flemish Movement","Beowulf & Circulations, Sorbonne Université","13–14 March 2026","Paris, France",48.8566,2.3522
Conference presentation,Suzanne Klare,"We have Beowulf at Home: Pocketbooks, Paper Dolls and Performances of Beowulf for Dutch Children in the 19th and 20th Centuries","Centre for Medieval Studies Postgraduate Research Conference, University of Bristol","30 March – 1 April 2026","Bristol, UK",51.4545,-2.5879
